epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,103.579,0.92004,0.82333,1.02565,0.61752,0.59715,0.62921,0.41866,1.02142,1.05254,1.10652,0.000424556,0.000424556,0.000424556
73,104.991,0.91802,0.83708,1.0371,0.61752,0.59715,0.62921,0.41866,1.02142,1.05254,1.10652,0.000410409,0.000410409,0.000410409
74,106.315,0.92342,0.93047,1.06458,0.68163,0.59025,0.635,0.42076,1.019,1.04154,1.10273,0.000396262,0.000396262,0.000396262
75,107.795,0.93889,0.85658,1.04131,0.68995,0.59802,0.63503,0.41915,1.01845,1.03806,1.0973,0.000382115,0.000382115,0.000382115
76,109.321,0.94717,0.83103,1.03295,0.68352,0.59676,0.63889,0.42255,1.02258,1.02784,1.09858,0.000367967,0.000367967,0.000367967
77,110.522,0.92842,0.81791,1.03567,0.68352,0.59676,0.63889,0.42255,1.02258,1.02784,1.09858,0.00035382,0.00035382,0.00035382
78,111.892,0.88789,0.85866,1.04769,0.6736,0.60783,0.63818,0.42296,1.01827,1.00927,1.09555,0.000339673,0.000339673,0.000339673
79,113.347,0.91443,0.8266,1.02755,0.70555,0.59007,0.64245,0.42507,1.00921,0.99713,1.08893,0.000325526,0.000325526,0.000325526
80,114.761,0.94261,0.84868,1.03128,0.72231,0.60563,0.65496,0.43435,0.99954,0.97216,1.084,0.000311379,0.000311379,0.000311379
81,116.174,0.89236,0.81372,1.02472,0.72231,0.60563,0.65496,0.43435,0.99954,0.97216,1.084,0.000297232,0.000297232,0.000297232
82,117.562,0.91638,0.85532,1.03016,0.72007,0.61774,0.66462,0.44238,1.00133,0.96079,1.08969,0.000283085,0.000283085,0.000283085
83,118.932,0.88833,0.79493,1.01627,0.71418,0.62016,0.65903,0.43771,1.00551,0.95491,1.09481,0.000268938,0.000268938,0.000268938
84,120.391,0.93453,0.83784,1.02005,0.71768,0.61288,0.65766,0.4358,1.00793,0.94968,1.09416,0.000254791,0.000254791,0.000254791
85,121.687,0.86117,0.79993,1.01842,0.71768,0.61288,0.65766,0.4358,1.00793,0.94968,1.09416,0.000240644,0.000240644,0.000240644
86,123.091,0.87852,0.78445,1.01035,0.73854,0.60498,0.66082,0.43624,1.01273,0.95101,1.09258,0.000226497,0.000226497,0.000226497
87,124.512,0.89245,0.78819,1.02361,0.74617,0.60062,0.66619,0.44048,1.01039,0.95368,1.08946,0.000212349,0.000212349,0.000212349
88,125.897,0.89398,0.78862,1.01455,0.74931,0.59497,0.66584,0.44181,1.00314,0.95623,1.08639,0.000198202,0.000198202,0.000198202
89,127.288,0.89072,0.78508,1.01601,0.74931,0.59497,0.66584,0.44181,1.00314,0.95623,1.08639,0.000184055,0.000184055,0.000184055
90,128.719,0.86221,0.75551,1.00713,0.71714,0.61531,0.66534,0.44375,0.99972,0.95057,1.08649,0.000169908,0.000169908,0.000169908
91,132.161,0.95587,0.9427,1.06203,0.6819,0.64613,0.66502,0.44198,0.99072,0.94726,1.07781,0.000155761,0.000155761,0.000155761
92,132.765,0.94645,0.93066,1.03184,0.70962,0.61996,0.65613,0.44112,0.98952,0.95703,1.06972,0.000141614,0.000141614,0.000141614
93,133.366,0.87748,0.90302,1.03533,0.70962,0.61996,0.65613,0.44112,0.98952,0.95703,1.06972,0.000127467,0.000127467,0.000127467
94,133.984,0.85325,0.87458,1.02109,0.6542,0.66297,0.64826,0.43329,0.99904,0.97463,1.06967,0.00011332,0.00011332,0.00011332
95,134.59,0.8529,0.87763,1.02153,0.65113,0.66368,0.6446,0.42809,1.01313,0.99023,1.07566,9.91726e-05,9.91726e-05,9.91726e-05
96,135.198,0.83252,0.82042,0.99857,0.65981,0.63636,0.6481,0.42434,1.02675,1.00451,1.0832,8.50255e-05,8.50255e-05,8.50255e-05
97,135.799,0.87209,0.80236,1.0088,0.65981,0.63636,0.6481,0.42434,1.02675,1.00451,1.0832,7.08784e-05,7.08784e-05,7.08784e-05
98,136.409,0.81917,0.81213,1.00169,0.66575,0.64204,0.64821,0.42779,1.0267,1.01228,1.08513,5.67313e-05,5.67313e-05,5.67313e-05
99,137.015,0.85546,0.82523,1.01002,0.67724,0.62567,0.65565,0.43374,1.01956,1.01545,1.08553,4.25842e-05,4.25842e-05,4.25842e-05
100,137.623,0.84375,0.79492,1.0082,0.69445,0.62579,0.66515,0.43581,1.01154,1.01729,1.08326,2.84371e-05,2.84371e-05,2.84371e-05
